Tanzania,"3,861.00 km",Burundi 451 km Democratic Republic of the Congo 459 km Kenya 769 km Malawi 475 km Mozambique 756 km Rwanda 217 km Uganda 396 km Zambia 338 km
Namibia,"3,936.00 km",Angola 1376 km Botswana 1360 km South Africa 967 km Zambia 233 km
Paraguay,"3,995.00 km",Argentina 1880 km Bolivia 750 km Brazil 1365 km
Botswana,"4,013.00 km",Namibia 1360 km South Africa 1840 km Zimbabwe 813 km
Nigeria,"4,047.00 km",Benin 773 km Cameroon 1690 km Chad 87 km Niger 1497 km
Bangladesh,"4,246.00 km",Burma 193 km India 4053 km
Libya,"4,348.00 km",Algeria 982 km Chad 1055 km Egypt 1115 km Niger 354 km Sudan 383 km Tunisia 459 km
Mexico,"4,353.00 km",Belize 250 km Guatemala 962 km US 3141 km
Saudi Arabia,"4,431.00 km",Iraq 814 km Jordan 744 km Kuwait 222 km Oman 676 km Qatar 60 km UAE 457 km Yemen 1458 km
Ukraine,"4,566.00 km",Belarus 891 km Hungary 103 km Moldova 940 km Poland 428 km Romania (south) 176 km Romania (southwest) 362 km Russia 1576 km Slovakia 90 km
Mozambique,"4,571.00 km",Malawi 1569 km South Africa 491 km Swaziland 105 km Tanzania 756 km Zambia 419 km Zimbabwe 1231 km
Cameroon,"4,591.00 km",Central African Republic 797 km Chad 1094 km Republic of the Congo 523 km Equatorial Guinea 189 km Gabon 298 km Nigeria 1690 km
Vietnam,"4,639.00 km",Cambodia 1228 km China 1281 km Laos 2130 km
South Africa,"4,862.00 km",Botswana 1840 km Lesotho 909 km Mozambique 491 km Namibia 967 km Swaziland 430 km Zimbabwe 225 km
Thailand,"4,863.00 km",Burma 1800 km Cambodia 803 km Laos 1754 km Malaysia 506 km
Venezuela,"4,993.00 km",Brazil 2200 km Colombia 2050 km Guyana 743 km
Mauritania,"5,074.00 km",Algeria 463 km Mali 2237 km Senegal 813 km Western Sahara 1561 km
Laos,"5,083.00 km",Burma 235 km Cambodia 541 km China 423 km Thailand 1754 km Vietnam 2130 km
Angola,"5,198.00 km",Democratic Republic of the Congo 2511 km (of which 225 km is the boundary of discontiguous Cabinda Province) Republic of the Congo 201 km Namibia 1376 km Zambia 1110 km
