"","ccode","year","atop_lengthmax","atop_lengthavg"
"949",100,1998,51,50
"950",100,1999,52,52
"951",100,2000,53,52
"952",100,2001,54,54
"953",100,2002,55,54
"954",100,2003,56,56
"955",100,2004,57,56
"956",100,2005,58,58
"957",100,2006,59,58
"958",100,2007,60,60
"959",100,2008,61,60
"960",100,2009,62,62
"961",100,2010,63,62
"962",100,2011,64,64
"963",100,2012,65,64
"964",100,2013,66,66
"965",100,2014,67,66
"966",101,1970,23,22
"967",101,1971,24,24
"968",101,1972,25,24
"969",101,1973,26,26
"970",101,1974,27,26
"971",101,1975,28,28
"972",101,1976,29,28
"973",101,1977,30,30
"974",101,1978,31,30
"975",101,1979,32,32
"976",101,1980,33,32
"977",101,1981,34,34
"978",101,1982,35,34
"979",101,1983,36,36
"980",101,1984,37,36
"981",101,1985,38,38
"982",101,1986,39,38
"983",101,1987,40,40
"984",101,1988,41,40
"985",101,1989,42,42
"986",101,1990,43,42
"987",101,1991,44,44
"988",101,1992,45,44
"989",101,1993,46,46
"990",101,1994,47,46
"991",101,1995,48,48
"992",101,1996,49,48
"993",101,1997,50,50
"994",101,1998,51,50
"995",101,1999,52,52
"996",101,2000,53,52
"997",101,2001,54,54
"998",101,2002,55,54
"999",101,2003,56,56
"1000",101,2004,57,56
"1001",101,2005,58,58
"1002",101,2006,59,58
"1003",101,2007,60,60
"1004",101,2008,61,60
"1005",101,2009,62,62
"1006",101,2010,63,62
"1007",101,2011,64,64
"1008",101,2012,65,64
"1009",101,2013,66,66
"1010",101,2014,67,66
"1011",110,1992,1,1
"1012",110,1993,2,2
"1013",110,1994,3,3
"1014",110,1995,4,4
"1015",110,1996,5,5
"1016",110,1997,6,6
"1017",110,1998,7,7
"1018",110,1999,8,8
"1019",110,2000,9,9
"1020",110,2001,10,10
"1021",110,2002,11,11
"1022",110,2003,12,12
"1023",110,2004,13,13
"1024",110,2005,14,14
"1025",110,2006,15,15
"1026",110,2007,16,16
"1027",110,2008,17,17
"1028",110,2009,18,18
"1029",110,2010,19,19
"1030",110,2011,20,20
"1031",110,2012,21,21
"1032",110,2013,22,22
"1033",110,2014,23,23
"1034",115,1978,1,1
"1035",115,1979,2,2
"1036",115,1980,3,3
"1037",115,1981,4,4
"1038",115,1982,5,5
"1039",115,1983,6,6
"1040",115,1984,7,7
"1041",115,1985,8,8
"1042",115,1986,9,9
"1043",115,1987,10,10
"1044",115,1988,11,11
"1045",115,1989,12,12
"1046",115,1990,13,13
"1047",115,1991,14,14
"1048",115,1992,15,15
"1049",115,1993,16,16
"1050",115,1994,17,17
"1051",115,1995,18,18
"1052",115,1996,19,19
"1053",115,1997,20,20
"1054",115,1998,21,21
"1055",115,1999,22,22
"1056",115,2000,23,23
"1057",115,2001,24,24
"1058",115,2002,25,25
"1059",115,2003,26,26
"1060",115,2004,27,27
"1061",115,2005,28,28
"1062",115,2006,29,29
"1063",115,2007,30,30
"1064",115,2008,31,31
"1065",115,2009,32,32
"1066",115,2010,33,33
"1067",115,2011,34,34
"1068",115,2012,35,35
"1069",115,2013,36,36
"1070",115,2014,37,37
"1071",130,1970,22,22
"1072",130,1971,23,22
"1073",130,1972,24,24
"1074",130,1973,25,24
"1075",130,1974,26,26
"1076",130,1975,27,26
"1077",130,1976,28,28
"1078",130,1977,29,28
"1079",130,1978,30,30
"1080",130,1979,31,30
"1081",130,1980,32,32
"1082",130,1981,33,32
"1083",130,1982,34,34
"1084",130,1983,35,34
"1085",130,1984,36,36
"1086",130,1985,37,36
"1087",130,1986,38,38
"1088",130,1987,39,38
"1089",130,1988,40,40
"1090",130,1989,41,40
"1091",130,1990,42,42
"1092",130,1991,43,42
"1093",130,1992,44,44
"1094",130,1993,45,44
"1095",130,1994,46,46
"1096",130,1995,47,46
"1097",130,1996,48,48
"1098",130,1997,49,48
"1099",130,1998,50,50
"1100",130,1999,51,50
"1101",130,2000,52,52
"1102",130,2001,53,52
"1103",130,2002,54,54
"1104",130,2003,55,54
"1105",130,2004,56,56
"1106",130,2005,57,56
"1107",130,2006,58,58
"1108",130,2007,59,58
"1109",130,2008,60,60
"1110",130,2009,61,60
"1111",130,2010,62,62
"1112",130,2011,63,62
"1113",130,2012,64,64
"1114",130,2013,65,64
"1115",130,2014,66,66
"1116",130,2015,66,66
"1117",135,1970,23,22
"1118",135,1971,24,24
"1119",135,1972,25,24
"1120",135,1973,26,26
"1121",135,1974,27,26
"1122",135,1975,28,28
"1123",135,1976,29,28
"1124",135,1977,30,30
"1125",135,1978,31,30
"1126",135,1979,32,32
"1127",135,1980,33,32
"1128",135,1981,34,34
"1129",135,1982,35,34
"1130",135,1983,36,36
"1131",135,1984,37,36
"1132",135,1985,38,38
"1133",135,1986,39,38
"1134",135,1987,40,40
"1135",135,1988,41,40
"1136",135,1989,42,42
"1137",135,1990,43,42
"1138",135,1991,44,44
"1139",135,1992,45,44
"1140",135,1993,46,46
"1141",135,1994,47,46
"1142",135,1995,48,48
"1143",135,1996,49,48
"1144",135,1997,50,50
"1145",135,1998,51,50
"1146",135,1999,52,52
"1147",135,2000,53,52
