"dispnum","dispnum4","ccode","stabb","stday","stmon","styear","endday","endmon","endyear","sidea","revstate","revtype1","revtype2","fatality","fatalpre","hiact","hostlev","orig","version"
1189,-9,110,"GUY",-9,11,1975,-9,7,1976,0,0,0,-9,0,0,0,1,1,"gml-2.1"
1189,-9,140,"BRA",-9,11,1975,-9,7,1976,1,1,2,-9,0,0,12,3,1,"gml-2.1"
1190,-9,91,"HON",13,7,1976,9,8,1976,1,1,1,-9,0,0,17,4,1,"gml-2.1"
1190,-9,92,"SAL",13,7,1976,9,8,1976,0,1,1,-9,1,2,17,4,1,"gml-2.1"
1191,-9,135,"PER",11,9,1976,11,9,1976,1,0,0,-9,0,0,7,3,1,"gml-2.1"
1191,-9,155,"CHL",11,9,1976,11,9,1976,0,0,0,-9,0,0,16,4,1,"gml-2.1"
1193,-9,2,"USA",31,7,1954,8,1,1955,0,1,3,-9,0,0,7,3,0,"gml-2.1"
1193,-9,93,"NIC",6,4,1954,24,2,1955,1,1,3,-9,0,0,16,4,1,"gml-2.1"
1193,-9,94,"COS",6,4,1954,24,2,1955,0,1,3,-9,0,0,16,4,1,"gml-2.1"
1195,-9,91,"HON",2,7,1918,30,8,1918,0,0,0,-9,0,0,7,3,1,"gml-2.1"
1195,-9,93,"NIC",2,7,1918,30,8,1918,1,1,1,-9,0,0,16,4,1,"gml-2.1"
1196,-9,93,"NIC",24,12,1913,-9,1,1914,1,1,1,-9,0,0,3,2,1,"gml-2.1"
1196,-9,100,"COL",24,12,1913,-9,1,1914,0,1,1,-9,0,0,7,3,1,"gml-2.1"
1197,-9,710,"CHN",1,9,1943,1,9,1943,1,1,2,-9,-9,-9,17,4,1,"gml-2.1"
1197,-9,712,"MON",1,9,1943,1,9,1943,0,0,0,-9,-9,-9,17,4,1,"gml-2.1"
1200,-9,645,"IRQ",10,2,1973,10,2,1973,0,0,0,-9,0,0,0,1,1,"gml-2.1"
1200,-9,770,"PAK",10,2,1973,10,2,1973,1,1,2,-9,0,0,15,4,1,"gml-2.1"
1202,-9,91,"HON",5,1,1907,17,9,1907,1,0,0,-9,4,-9,20,5,1,"gml-2.1"
1202,-9,92,"SAL",12,3,1907,17,9,1907,1,0,0,-9,4,-9,20,5,0,"gml-2.1"
1202,-9,93,"NIC",5,1,1907,17,9,1907,0,0,0,-9,4,-9,20,5,1,"gml-2.1"
1203,-9,2,"USA",3,1,1909,25,5,1909,1,1,2,-9,0,0,7,3,1,"gml-2.1"
1203,-9,70,"MEX",14,3,1909,25,5,1909,1,0,0,-9,0,0,7,3,0,"gml-2.1"
1203,-9,91,"HON",15,3,1909,25,5,1909,1,0,0,-9,0,0,7,3,0,"gml-2.1"
1203,-9,92,"SAL",12,3,1909,25,5,1909,1,0,0,-9,0,0,16,4,0,"gml-2.1"
1203,-9,93,"NIC",3,1,1909,25,5,1909,0,0,0,-9,0,0,16,4,1,"gml-2.1"
1205,-9,90,"GUA",-9,3,1906,20,7,1906,1,1,3,-9,4,-9,20,5,1,"gml-2.1"
1205,-9,91,"HON",13,7,1906,20,7,1906,0,0,0,-9,4,-9,20,5,0,"gml-2.1"
1205,-9,92,"SAL",-9,3,1906,20,7,1906,0,1,3,-9,4,-9,20,5,1,"gml-2.1"
1205,-9,93,"NIC",28,5,1906,-9,6,1906,0,0,0,-9,0,0,7,3,0,"gml-2.1"
1206,-9,91,"HON",24,6,1969,18,7,1969,0,1,4,-9,6,-9,20,5,1,"gml-2.1"
1206,-9,92,"SAL",24,6,1969,18,7,1969,1,0,0,-9,5,-9,20,5,1,"gml-2.1"
1207,-9,41,"HAI",2,4,1912,1,7,1912,1,1,1,-9,0,0,14,4,1,"gml-2.1"
1207,-9,42,"DOM",2,4,1912,1,7,1912,0,0,0,-9,0,0,12,3,1,"gml-2.1"
1208,-9,150,"PAR",-9,12,1959,28,12,1959,1,0,0,-9,0,0,17,4,1,"gml-2.1"
1208,-9,160,"ARG",-9,12,1959,28,12,1959,0,0,0,-9,1,-9,17,4,1,"gml-2.1"
1209,-9,150,"PAR",15,5,1962,-9,11,1962,1,0,0,-9,1,-9,17,4,1,"gml-2.1"
