"dispnum","dispnum4","ccode","stabb","stday","stmon","styear","endday","endmon","endyear","sidea","revstate","revtype1","revtype2","fatality","fatalpre","hiact","hostlev","orig","version"
1046,-9,651,"EGY",17,11,1971,24,10,1973,0,1,1,-9,6,-9,20,5,0,"gml-2.1"
1046,-9,652,"SYR",14,10,1971,24,10,1973,0,1,1,-9,6,-9,20,5,1,"gml-2.1"
1046,-9,663,"JOR",31,12,1971,31,12,1971,0,0,0,-9,1,-9,20,5,0,"gml-2.1"
1046,-9,666,"ISR",14,10,1971,24,10,1973,1,0,0,-9,6,-9,20,5,1,"gml-2.1"
1051,-9,660,"LEB",6,5,1968,15,6,1968,1,0,0,-9,1,1,17,4,1,"gml-2.1"
1051,-9,666,"ISR",6,5,1968,15,6,1968,0,1,2,-9,0,0,17,4,1,"gml-2.1"
1061,-9,651,"EGY",15,4,1974,12,1,1976,0,0,0,-9,0,0,1,2,0,"gml-2.1"
1061,-9,660,"LEB",12,4,1974,2,12,1975,0,0,0,-9,-9,-9,17,4,1,"gml-2.1"
1061,-9,666,"ISR",12,4,1974,12,1,1976,1,1,2,-9,-9,-9,17,4,1,"gml-2.1"
1062,-9,325,"ITA",28,8,1953,20,12,1953,0,0,0,-9,0,0,11,3,1,"gml-2.1"
1062,-9,345,"YUG",28,8,1953,20,12,1953,1,1,1,-9,0,0,8,3,1,"gml-2.1"
1063,-9,101,"VEN",13,6,1908,23,12,1908,0,0,0,-9,0,0,15,4,1,"gml-2.1"
1063,-9,210,"NTH",13,6,1908,23,12,1908,1,0,0,-9,0,0,13,4,1,"gml-2.1"
1066,-9,235,"POR",17,12,1941,17,12,1941,0,0,0,-9,0,0,0,1,1,"gml-2.1"
1066,-9,900,"AUL",17,12,1941,17,12,1941,1,0,0,-9,0,0,14,4,1,"gml-2.1"
1067,-9,652,"SYR",17,11,1969,17,11,1969,0,NA,-9,-9,0,0,0,1,0,"gml-2.1"
1067,-9,645,"IRQ",2,12,1968,17,11,1969,0,NA,-9,-9,1,-9,16,4,0,"gml-2.1"
1067,-9,670,"SAU",20,1,1970,21,1,1970,0,NA,-9,-9,1,-9,17,4,0,"gml-2.1"
1067,-9,663,"JOR",15,7,1967,14,8,1970,0,1,1,-9,3,-9,17,4,1,"gml-2.1"
1067,-9,666,"ISR",15,7,1967,14,8,1970,1,0,0,-9,2,-9,17,4,1,"gml-2.1"
1068,-9,615,"ALG",15,8,1970,14,10,1970,0,0,0,-9,0,0,0,1,1,"gml-2.1"
1068,-9,666,"ISR",15,8,1970,14,10,1970,1,1,2,-9,0,0,15,4,1,"gml-2.1"
1069,-9,615,"ALG",23,7,1968,1,9,1968,1,1,2,-9,0,0,15,4,1,"gml-2.1"
1069,-9,666,"ISR",23,7,1968,1,9,1968,0,0,0,-9,0,0,0,1,1,"gml-2.1"
1070,-9,920,"NEW",29,10,1964,1,11,1964,0,NA,-9,-9,0,0,15,4,0,"gml-2.1"
1070,-9,200,"UKG",13,2,1963,1,6,1966,0,0,0,-9,1,-9,17,4,0,"gml-2.1"
1070,-9,820,"MAL",1,2,1963,1,6,1966,0,0,0,-9,2,-9,17,4,1,"gml-2.1"
1070,-9,850,"INS",1,2,1963,1,6,1966,1,1,1,-9,3,-9,17,4,1,"gml-2.1"
1070,-9,900,"AUL",-9,9,1963,1,6,1966,0,0,0,-9,1,-9,16,4,0,"gml-2.1"
1072,-9,820,"MAL",3,4,1968,18,9,1968,1,0,0,-9,-9,-9,10,3,1,"gml-2.1"
1072,-9,840,"PHI",3,4,1968,18,9,1968,0,0,0,-9,-9,-9,7,3,1,"gml-2.1"
1073,-9,235,"POR",3,8,1954,4,5,1955,1,0,0,-9,0,0,8,3,1,"gml-2.1"
1073,-9,750,"IND",3,8,1954,4,5,1955,0,1,1,-9,0,0,1,2,1,"gml-2.1"
1074,-9,235,"POR",17,8,1961,19,12,1961,0,0,0,-9,1,-9,17,4,1,"gml-2.1"
1074,-9,750,"IND",17,8,1961,19,12,1961,1,1,1,-9,1,-9,17,4,1,"gml-2.1"
1077,-9,750,"IND",22,9,1947,24,2,1948,1,0,0,-9,0,0,14,4,1,"gml-2.1"
1077,-9,770,"PAK",22,9,1947,24,2,1948,0,0,0,-9,0,0,0,1,1,"gml-2.1"
1079,-9,750,"IND",17,6,1951,4,8,1951,1,0,0,-9,1,-9,16,4,1,"gml-2.1"
1079,-9,770,"PAK",17,6,1951,4,8,1951,0,1,1,-9,1,-9,16,4,1,"gml-2.1"
1081,-9,652,"SYR",16,7,1971,13,8,1971,0,1,2,-9,1,-9,17,4,1,"gml-2.1"
1081,-9,663,"JOR",16,7,1971,13,8,1971,1,0,0,-9,1,-9,17,4,1,"gml-2.1"
1083,-9,600,"MOR",2,7,1962,9,10,1962,1,1,1,-9,2,-9,17,4,1,"gml-2.1"
1083,-9,615,"ALG",2,7,1962,9,10,1962,0,0,0,-9,2,-9,17,4,1,"gml-2.1"
1084,-9,600,"MOR",-9,9,1963,20,2,1964,1,1,1,-9,2,-9,17,4,1,"gml-2.1"
1084,-9,615,"ALG",-9,9,1963,20,2,1964,0,0,0,-9,3,-9,17,4,1,"gml-2.1"
1086,-9,230,"SPN",9,5,1909,23,3,1910,1,1,2,-9,6,-9,20,5,1,"gml-2.1"
1086,-9,600,"MOR",9,5,1909,23,3,1910,0,0,0,-9,6,-9,20,5,1,"gml-2.1"
1087,-9,230,"SPN",23,5,1911,30,12,1911,1,1,1,-9,-9,-9,16,4,1,"gml-2.1"
1087,-9,600,"MOR",23,5,1911,30,12,1911,0,0,0,-9,-9,-9,0,1,1,"gml-2.1"
1091,-9,625,"SUD",9,2,1958,25,2,1958,0,0,0,-9,0,0,15,4,1,"gml-2.1"
1091,-9,651,"EGY",9,2,1958,25,2,1958,1,1,1,-9,0,0,7,3,1,"gml-2.1"
1093,-9,155,"CHL",-9,5,1900,-9,11,1902,0,1,1,-9,-9,-9,17,4,1,"gml-2.1"
1093,-9,160,"ARG",-9,5,1900,-9,11,1902,1,1,1,-9,-9,-9,14,4,1,"gml-2.1"
1094,-9,160,"ARG",-9,11,1907,8,11,1907,1,1,1,-9,0,0,15,4,1,"gml-2.1"
1094,-9,165,"URU",-9,11,1907,8,11,1907,0,0,0,-9,0,0,0,1,1,"gml-2.1"
1095,-9,150,"PAR",-9,1,1912,28,2,1912,1,0,0,-9,0,0,16,4,1,"gml-2.1"
1095,-9,160,"ARG",-9,1,1912,28,2,1912,0,0,0,-9,0,0,7,3,1,"gml-2.1"
1097,-9,155,"CHL",26,7,1952,22,8,1952,0,1,1,-9,0,0,0,1,1,"gml-2.1"
1097,-9,160,"ARG",26,7,1952,22,8,1952,1,1,1,-9,0,0,14,4,1,"gml-2.1"
1098,-9,155,"CHL",4,8,1955,-9,9,1955,0,1,1,-9,0,0,0,1,1,"gml-2.1"
1098,-9,160,"ARG",4,8,1955,-9,9,1955,1,1,1,-9,0,0,14,4,1,"gml-2.1"
1099,-9,155,"CHL",-9,4,1958,19,8,1958,0,1,1,-9,0,0,7,3,1,"gml-2.1"
1099,-9,160,"ARG",-9,4,1958,19,8,1958,1,1,1,-9,0,0,16,4,1,"gml-2.1"
1100,-9,155,"CHL",-9,8,1959,29,9,1959,0,1,1,-9,0,0,16,4,1,"gml-2.1"
1100,-9,160,"ARG",-9,8,1959,29,9,1959,1,1,1,-9,0,0,7,3,1,"gml-2.1"
1101,-9,155,"CHL",24,3,1960,24,3,1960,0,1,1,-9,0,0,0,1,1,"gml-2.1"
1101,-9,160,"ARG",24,3,1960,24,3,1960,1,1,1,-9,0,0,12,3,1,"gml-2.1"
1102,-9,155,"CHL",17,9,1963,17,9,1963,0,1,1,-9,0,0,0,1,1,"gml-2.1"
1102,-9,160,"ARG",17,9,1963,17,9,1963,1,1,1,-9,0,0,7,3,1,"gml-2.1"
1104,-9,680,"YPR",5,5,1972,25,5,1972,1,1,3,-9,0,0,16,4,1,"gml-2.1"
1104,-9,698,"OMA",5,5,1972,25,5,1972,0,1,3,-9,1,-9,16,4,1,"gml-2.1"
1105,-9,680,"YPR",18,11,1973,18,11,1973,1,1,3,-9,0,0,16,4,1,"gml-2.1"
1105,-9,698,"OMA",18,11,1973,18,11,1973,0,0,0,-9,0,0,0,1,1,"gml-2.1"
1106,-9,630,"IRN",17,10,1975,11,3,1976,0,NA,-9,-9,-9,-9,16,4,1,"gml-2.1"
1106,-9,680,"YPR",17,10,1975,11,3,1976,0,1,3,-9,3,-9,16,4,1,"gml-2.1"
1106,-9,698,"OMA",17,10,1975,11,3,1976,1,0,0,-9,1,-9,16,4,1,"gml-2.1"
1107,-9,678,"YAR",17,10,1971,28,10,1972,0,0,0,-9,0,0,16,4,1,"gml-2.1"
1107,-9,680,"YPR",17,10,1971,28,10,1972,1,0,0,-9,0,0,16,4,1,"gml-2.1"
1108,-9,2,"USA",-9,3,1963,-9,3,1963,0,0,0,-9,0,0,1,2,0,"gml-2.1"
1108,-9,651,"EGY",-9,10,1962,3,3,1963,1,1,3,-9,-9,-9,17,4,1,"gml-2.1"
1108,-9,663,"JOR",7,10,1962,3,2,1962,0,0,0,-9,-9,-9,17,4,0,"gml-2.1"
1108,-9,670,"SAU",-9,10,1962,3,3,1963,0,1,3,-9,-9,-9,17,4,1,"gml-2.1"
1108,-9,678,"YAR",7,10,1962,4,1,1963,1,0,0,-9,-9,-9,17,4,0,"gml-2.1"
1109,-9,651,"EGY",1,5,1966,14,5,1967,1,1,2,-9,1,-9,19,4,1,"gml-2.1"
1109,-9,670,"SAU",1,5,1966,14,5,1967,0,0,0,-9,0,0,16,4,1,"gml-2.1"
1109,-9,678,"YAR",6,5,1966,14,5,1967,1,1,2,-9,0,0,1,2,0,"gml-2.1"
1110,-9,670,"SAU",26,11,1969,30,11,1969,0,0,0,-9,1,-9,17,4,1,"gml-2.1"
1110,-9,680,"YPR",26,11,1969,30,11,1969,1,1,1,-9,1,-9,17,4,1,"gml-2.1"
1112,-9,41,"HAI",19,12,1949,8,4,1950,0,0,0,-9,0,0,0,1,1,"gml-2.1"
1112,-9,42,"DOM",19,12,1949,8,4,1950,1,1,3,-9,0,0,12,3,1,"gml-2.1"
1114,-9,40,"CUB",-9,6,1959,24,7,1959,1,1,3,-9,0,0,7,3,1,"gml-2.1"
1114,-9,42,"DOM",-9,6,1959,24,7,1959,0,1,3,-9,0,0,8,3,1,"gml-2.1"
1114,-9,101,"VEN",6,7,1959,24,7,1959,1,1,3,-9,0,0,8,3,0,"gml-2.1"
1115,-9,40,"CUB",8,5,1967,8,5,1967,1,1,3,-9,1,-9,17,4,1,"gml-2.1"
1115,-9,101,"VEN",8,5,1967,8,5,1967,0,0,0,-9,0,0,17,4,1,"gml-2.1"
1117,-9,230,"SPN",21,11,1957,2,4,1958,1,0,0,-9,0,0,16,4,1,"gml-2.1"
1117,-9,600,"MOR",21,11,1957,2,4,1958,0,1,1,-9,0,0,0,1,1,"gml-2.1"
1118,-9,230,"SPN",1,1,1972,-9,6,1972,0,0,0,-9,0,0,7,3,1,"gml-2.1"
1118,-9,600,"MOR",1,1,1972,-9,6,1972,1,1,2,-9,0,0,15,4,1,"gml-2.1"
1119,-9,230,"SPN",-9,1,1973,2,1,1974,0,1,2,-9,-9,-9,17,4,1,"gml-2.1"
1119,-9,600,"MOR",-9,1,1973,2,1,1974,1,1,2,-9,-9,-9,17,4,1,"gml-2.1"
1120,-9,41,"HAI",-9,2,1901,17,6,1901,1,1,1,-9,0,0,7,3,1,"gml-2.1"
1120,-9,42,"DOM",-9,2,1901,17,6,1901,0,0,0,-9,0,0,7,3,1,"gml-2.1"
1123,-9,640,"TUR",9,7,1962,19,8,1962,0,0,0,-9,1,-9,16,4,1,"gml-2.1"
1123,-9,645,"IRQ",9,7,1962,19,8,1962,1,0,0,-9,1,-9,16,4,1,"gml-2.1"
1124,-9,2,"USA",29,12,1958,29,12,1958,0,0,0,-9,0,0,0,1,1,"gml-2.1"
1124,-9,70,"MEX",29,12,1958,29,1,1959,0,1,4,-9,1,-9,7,3,1,"gml-2.1"
1124,-9,90,"GUA",29,12,1958,29,1,1959,1,1,4,-9,0,0,16,4,1,"gml-2.1"
1129,-9,200,"UKG",2,5,1934,14,6,1934,0,0,0,-9,0,0,7,3,0,"gml-2.1"
1129,-9,220,"FRN",6,5,1934,14,6,1934,0,0,0,-9,0,0,7,3,0,"gml-2.1"
1129,-9,325,"ITA",4,5,1934,14,6,1934,0,0,0,-9,0,0,7,3,0,"gml-2.1"
1129,-9,670,"SAU",14,11,1933,14,6,1934,1,1,1,-9,6,-9,20,5,1,"gml-2.1"
1129,-9,678,"YAR",14,11,1933,14,6,1934,0,1,1,-9,6,-9,20,5,1,"gml-2.1"
1131,-9,630,"IRN",13,11,1914,20,3,1917,0,0,0,-9,-9,-9,17,4,1,"gml-2.1"
1131,-9,640,"TUR",13,11,1914,20,3,1917,1,1,2,-9,-9,-9,14,4,1,"gml-2.1"
1132,-9,365,"RUS",3,11,1918,3,11,1918,0,0,0,-9,0,0,0,1,1,"gml-2.1"
1132,-9,630,"IRN",3,11,1918,3,11,1918,1,1,2,-9,0,0,16,4,1,"gml-2.1"
1133,-9,200,"UKG",18,5,1920,26,2,1921,0,0,0,-9,-9,-9,17,4,0,"gml-2.1"
1133,-9,365,"RUS",8,5,1920,26,2,1921,1,1,2,-9,-9,-9,17,4,1,"gml-2.1"
1133,-9,630,"IRN",8,5,1920,26,2,1921,0,0,0,-9,-9,-9,17,4,1,"gml-2.1"
1135,-9,200,"UKG",30,11,1971,2,12,1971,0,NA,-9,-9,1,4,17,4,1,"gml-2.1"
1135,-9,696,"UAE",10,2,1972,10,8,1972,0,NA,-9,-9,0,0,0,1,0,"gml-2.1"
1135,-9,630,"IRN",30,11,1971,10,8,1972,1,1,1,-9,1,-9,17,4,1,"gml-2.1"
1135,-9,645,"IRQ",30,11,1971,10,8,1972,0,1,1,-9,1,-9,17,4,1,"gml-2.1"
1136,-9,630,"IRN",6,3,1969,14,6,1969,0,1,1,-9,0,0,8,3,1,"gml-2.1"
1136,-9,645,"IRQ",6,3,1969,14,6,1969,1,1,1,-9,0,0,16,4,1,"gml-2.1"
1138,-9,630,"IRN",22,9,1959,2,1,1960,1,0,0,-9,1,-9,16,4,1,"gml-2.1"
1138,-9,645,"IRQ",22,9,1959,2,1,1960,0,1,1,-9,1,-9,16,4,1,"gml-2.1"
1139,-9,100,"COL",1,9,1932,7,5,1933,0,0,0,-9,2,-9,17,4,1,"gml-2.1"
1139,-9,135,"PER",1,9,1932,7,5,1933,1,1,1,-9,2,-9,17,4,1,"gml-2.1"
1141,-9,100,"COL",-9,4,1934,24,5,1934,0,0,0,-9,0,0,8,3,1,"gml-2.1"
1141,-9,135,"PER",-9,4,1934,24,5,1934,1,1,1,-9,0,0,7,3,1,"gml-2.1"
1142,-9,365,"RUS",19,12,1917,29,12,1917,0,0,0,-9,0,0,17,4,1,"gml-2.1"
1142,-9,710,"CHN",19,12,1917,29,12,1917,1,1,2,-9,0,0,17,4,1,"gml-2.1"
1145,-9,130,"ECU",-9,12,1901,23,10,1904,0,1,1,-9,1,-9,0,1,1,"gml-2.1"
1145,-9,135,"PER",-9,12,1901,23,10,1904,1,1,1,-9,1,-9,7,3,1,"gml-2.1"
1147,-9,130,"ECU",4,4,1910,18,5,1910,0,1,1,-9,0,0,11,3,1,"gml-2.1"
1147,-9,135,"PER",4,4,1910,18,5,1910,1,1,1,-9,0,0,11,3,1,"gml-2.1"
1148,-9,130,"ECU",22,4,1912,-9,3,1913,0,1,1,-9,0,0,0,1,1,"gml-2.1"
1148,-9,135,"PER",22,4,1912,-9,3,1913,1,1,1,-9,0,0,14,4,1,"gml-2.1"
1151,-9,130,"ECU",10,10,1932,13,11,1932,1,1,1,-9,1,-9,17,4,1,"gml-2.1"
1151,-9,135,"PER",10,10,1932,13,11,1932,0,1,1,-9,1,-9,17,4,1,"gml-2.1"
1152,-9,130,"ECU",-9,12,1934,30,11,1935,0,1,1,-9,0,0,16,4,1,"gml-2.1"
1152,-9,135,"PER",-9,12,1934,30,11,1935,1,1,1,-9,0,0,14,4,1,"gml-2.1"
1153,-9,130,"ECU",1,6,1938,18,6,1938,0,1,1,-9,1,-9,17,4,1,"gml-2.1"
1153,-9,135,"PER",1,6,1938,18,6,1938,1,0,0,-9,1,-9,17,4,1,"gml-2.1"
1154,-9,130,"ECU",19,7,1939,29,1,1942,0,1,1,-9,4,-9,17,4,1,"gml-2.1"
1154,-9,135,"PER",19,7,1939,29,1,1942,1,0,0,-9,3,-9,15,4,1,"gml-2.1"
1155,-9,130,"ECU",9,8,1951,14,8,1951,0,1,1,-9,1,-9,17,4,1,"gml-2.1"
1155,-9,135,"PER",9,8,1951,14,8,1951,1,0,0,-9,1,-9,17,4,1,"gml-2.1"
1156,-9,130,"ECU",24,1,1954,4,3,1954,0,1,1,-9,0,0,15,4,1,"gml-2.1"
1156,-9,135,"PER",24,1,1954,4,3,1954,1,0,0,-9,0,0,12,3,1,"gml-2.1"
1157,-9,130,"ECU",10,8,1955,13,8,1955,0,1,1,-9,0,0,0,1,1,"gml-2.1"
1157,-9,135,"PER",10,8,1955,13,8,1955,1,0,0,-9,0,0,15,4,1,"gml-2.1"
1158,-9,2,"USA",11,1,1971,30,1,1971,0,0,0,-9,0,0,0,1,1,"gml-2.1"
1158,-9,130,"ECU",11,1,1971,30,1,1971,1,1,2,-9,0,0,15,4,1,"gml-2.1"
1160,-9,100,"COL",-9,10,1907,-9,10,1907,0,0,0,-9,0,0,0,1,1,"gml-2.1"
1160,-9,135,"PER",-9,10,1907,-9,10,1907,1,1,1,-9,0,0,16,4,1,"gml-2.1"
1161,-9,100,"COL",18,1,1911,19,7,1911,1,1,1,-9,1,-9,14,4,1,"gml-2.1"
1161,-9,135,"PER",18,1,1911,19,7,1911,0,1,1,-9,1,-9,17,4,1,"gml-2.1"
1163,-9,135,"PER",21,10,1902,12,7,1904,1,0,0,-9,1,-9,17,4,1,"gml-2.1"
1163,-9,140,"BRA",21,10,1902,12,7,1904,0,1,1,-9,1,-9,17,4,1,"gml-2.1"
1166,-9,101,"VEN",14,10,1966,14,4,1967,1,1,1,-9,0,0,14,4,1,"gml-2.1"
1166,-9,110,"GUY",14,10,1966,14,4,1967,0,0,0,-9,0,0,0,1,1,"gml-2.1"
1168,-9,91,"HON",-9,4,1922,20,8,1922,1,0,0,-9,2,-9,17,4,1,"gml-2.1"
1168,-9,93,"NIC",-9,4,1922,20,8,1922,0,1,3,-9,2,-9,17,4,1,"gml-2.1"
1169,-9,90,"GUA",-9,10,1927,14,2,1928,0,1,1,-9,1,-9,17,4,1,"gml-2.1"
1169,-9,91,"HON",-9,10,1927,14,2,1928,1,1,1,-9,1,-9,17,4,1,"gml-2.1"
1170,-9,2,"USA",7,4,1929,7,4,1929,1,0,0,-9,0,0,16,4,0,"gml-2.1"
1170,-9,91,"HON",31,3,1929,-9,9,1929,0,0,0,-9,1,-9,16,4,1,"gml-2.1"
1170,-9,93,"NIC",31,3,1929,-9,9,1929,1,0,0,-9,0,0,16,4,1,"gml-2.1"
1171,-9,90,"GUA",-9,8,1935,-9,9,1935,1,0,0,-9,1,-9,17,4,1,"gml-2.1"
1171,-9,92,"SAL",-9,8,1935,-9,9,1935,0,0,0,-9,1,-9,17,4,1,"gml-2.1"
1172,-9,160,"ARG",25,1,1969,25,7,1969,1,1,1,-9,0,0,14,4,1,"gml-2.1"
1172,-9,165,"URU",25,1,1969,25,7,1969,0,1,1,-9,0,0,0,1,1,"gml-2.1"
1173,-9,91,"HON",-9,2,1957,23,6,1957,0,1,1,-9,0,0,17,4,1,"gml-2.1"
1173,-9,93,"NIC",-9,2,1957,23,6,1957,1,1,1,-9,2,35,14,4,1,"gml-2.1"
1174,-9,100,"COL",17,9,1900,-9,10,1901,1,1,3,-9,-9,-9,14,4,1,"gml-2.1"
1174,-9,101,"VEN",17,9,1900,-9,10,1901,0,1,3,-9,-9,-9,17,4,1,"gml-2.1"
1175,-9,90,"GUA",19,2,1917,29,12,1917,1,1,1,-9,0,0,7,3,1,"gml-2.1"
1175,-9,91,"HON",19,2,1917,29,12,1917,0,1,1,-9,0,0,14,4,1,"gml-2.1"
1178,-9,140,"BRA",26,1,1902,21,3,1903,1,1,1,-9,0,0,15,4,1,"gml-2.1"
1178,-9,145,"BOL",26,1,1902,21,3,1903,0,0,0,-9,0,0,0,1,1,"gml-2.1"
1179,-9,145,"BOL",-9,1,1906,-9,1,1906,1,1,1,-9,0,0,11,3,1,"gml-2.1"
1179,-9,150,"PAR",-9,1,1906,-9,1,1906,0,1,1,-9,0,0,0,1,1,"gml-2.1"
1180,-9,135,"PER",7,12,1910,30,3,1911,0,1,1,-9,1,-9,17,4,1,"gml-2.1"
1180,-9,145,"BOL",7,12,1910,30,3,1911,1,1,1,-9,1,-9,17,4,1,"gml-2.1"
1181,-9,135,"PER",-9,5,1911,24,10,1911,1,1,1,-9,0,0,11,3,1,"gml-2.1"
1181,-9,155,"CHL",-9,5,1911,24,10,1911,0,0,0,-9,0,0,11,3,1,"gml-2.1"
1182,-9,145,"BOL",-9,10,1918,-9,10,1918,1,1,1,-9,0,0,11,3,1,"gml-2.1"
1182,-9,150,"PAR",-9,10,1918,-9,10,1918,0,1,1,-9,0,0,0,1,1,"gml-2.1"
1184,-9,135,"PER",14,6,1920,22,8,1920,0,0,0,-9,0,0,10,3,1,"gml-2.1"
1184,-9,145,"BOL",14,6,1920,22,8,1920,0,1,1,-9,0,0,0,1,1,"gml-2.1"
1184,-9,155,"CHL",14,6,1920,22,8,1920,1,1,1,-9,0,0,10,3,1,"gml-2.1"
