dispnum	version	ccode	corr.ccode	change
2234	2.1	255	NA	Germany (255) restored to MID#2234. STDAY changed to 25. ENDDAY changed to 19. ORIG changed to 0.
2240	2.1	101	NA	STDAY changed to -9. HIACT changed to 16 Attack [4].
2240	2.1	110	NA	STDAY changed to -9. HIACT changed to 11 Fortify border [3]. HOSTLEV changed to 3 Display of force.
2300	2.1	200	NA	STYEAR changed back to 1893. STMON changed back to 12. STDAY changed back to 23. ENDYEAR changed back to 1893. ENDMON changed back to 12. ENDDAY changed back to 23.
2300	2.1	220	NA	STYEAR changed back to 1893. STMON changed back to 12. STDAY changed back to 23. ENDYEAR changed back to 1893. ENDMON changed back to 12. ENDDAY changed back to 23.
2310	2.1	70	NA	ENDDAY changed to 6.
2310	2.1	200	NA	ENDDAY changed to 6.
2315	2.1	710	NA	ENDYEAR changed to 1986. ENDMON changed to 10. ENDDAY changed to 24.
2315	2.1	732	NA	ENDYEAR changed to 1986. ENDMON changed to 10. ENDDAY changed to 24.
2320	2.1	135	NA	STMON changed to 4. STDAY changed back to -9.
2320	2.1	145	NA	STMON changed to 4. STDAY changed back to -9.
2321	2.1	135	NA	ENDYEAR changed back to 1906. ENDMON changed back to 12.
2321	2.1	145	NA	ENDYEAR changed back to 1906. ENDMON changed back to 12.
2328	2.1	339	NA	ENDMON changed back to 11. ENDDAY changed to 12.
2328	2.1	345	NA	ENDMON changed back to 11. ENDDAY changed to 12.
2331	2.1	200	NA	HIACT changed to 8 Alert [3].
2332	2.1	640	NA	STDAY changed to 20.
2332	2.1	645	NA	STDAY changed to 20.
2335	2.1	2	NA	STYEAR changed back to 1976. STMON changed to 9. STDAY changed to 4. ENDDAY changed to 4. HIACT changed to 0 No militarized action [1]. HOSTLEV changed to 1 No militarized action.
2335	2.1	666	NA	STMON changed to 9. STDAY changed to 4. ENDMON changed back to 9. ENDDAY changed to 4. HIACT changed to 16 Attack [4].
2338	2.1	101	NA	STDAY changed to 15. ENDYEAR changed to 1901. ENDMON changed to 1. ENDDAY changed to 18.
2338	2.1	200	2	STDAY changed to 15. ENDYEAR changed to 1901. ENDMON changed to 1. ENDDAY changed to 18.
2339	2.1	93	NA	FATALITY changed to 0 None. FATALPRE changed to 0.
2339	2.1	94	NA	FATALITY changed to 1 1-25 deaths. FATALPRE changed to 2.
2340	2.1	93	NA	HIACT changed to 14 Occupation of territory [4]. HOSTLEV changed to 4 Use of force.
2344	2.1	91	NA	FATALPRE changed to 1.
2344	2.1	93	NA	FATALPRE changed to 4.
2346	2.1	93	NA	STDAY changed back to 12.
2346	2.1	94	NA	STDAY changed back to 12.
2353	2.1	2	NA	SIDEA changed to 1.
2353	2.1	91	NA	HIACT changed to 16 Attack [4]. HOSTLEV changed to 4 Use of force. SIDEA changed to 1.
2353	2.1	93	NA	HIACT changed to 0 No militarized action [1]. HOSTLEV changed to 1 No militarized action. SIDEA changed to 0.
2360	2.1	651	NA	STMON changed back to 4. STDAY changed to -9.
2360	2.1	670	NA	STMON changed back to 4. STDAY changed to -9.
2360	2.1	678	NA	STMON changed to 4. STDAY changed to -9. ORIG changed to 1.
2367	2.1	200	NA	HIACT changed to 15 Seizure [4]. HOSTLEV changed to 4 Use of force.
2367	2.1	220	NA	HIACT changed to 14 Occupation of territory [4]. HOSTLEV changed to 4 Use of force.
2367	2.1	640	NA	HIACT changed to 0 No militarized action [1]. HOSTLEV changed to 1 No militarized action.
2371	2.1	339	NA	FATALITY changed to 0 None. FATALPRE changed to 0.
2371	2.1	350	NA	FATALITY changed to 0 None. FATALPRE changed to 0.
2372	2.1	339	NA	STDAY changed to -9.
2372	2.1	345	NA	STDAY changed to -9.
2373	2.1	670	NA	STDAY changed to 26. FATALITY changed to 1 1-25 deaths. FATALPRE changed to 18.
2373	2.1	678	NA	STDAY changed to 26. FATALITY changed to 0 None. FATALPRE changed to 0.
2543	2.1	205	NA	ENDDAY changed back to 28.
2543	2.1	230	NA	ENDDAY changed back to 28.
2547	2.1	260	NA	STMON changed to 5. STDAY changed to 29. ENDMON changed to 5. ENDDAY changed to 29.
2547	2.1	630	NA	STMON changed to 5. STDAY changed to 29. ENDMON changed to 5. ENDDAY changed to 29.
2550	2.1	732	NA	HIACT changed to 15 Seizure [4].
2551	2.1	200	450	ENDMON changed back to 3. ENDDAY changed back to 19.
2551	2.1	630	NA	ENDMON changed back to 3. ENDDAY changed back to 19.
2557	2.1	390	NA	STDAY changed to 22. ENDMON changed to 12.
2557	2.1	630	NA	STDAY changed to 22. ENDMON changed to 12. ENDDAY changed to 31. HIACT changed to 15 Seizure [4].
2571	2.1	560	NA	HIACT changed to 16 Attack [4]. HOSTLEV changed to 4 Use of force.
2580	2.1	560	NA	STMON changed to 5. STDAY changed to 19.
2580	2.1	571	NA	STMON changed to 5. STDAY changed to 19.
2585	2.1	210	NA	STDAY changed to 5.
2585	2.1	630	NA	STDAY changed to 5.
2591	2.1	666	NA	HIACT changed to 7 Show of force [3]. HOSTLEV changed to 3 Display of force.
2593	2.1	450	NA	STYEAR changed back to 1986. STMON changed back to 11. STDAY changed back to 18. ENDYEAR changed back to 1986. ENDMON changed back to 11. ENDDAY changed back to 18.
2593	2.1	630	NA	STYEAR changed back to 1986. STMON changed back to 11. STDAY changed back to 18. ENDYEAR changed back to 1986. ENDMON changed back to 11. ENDDAY changed back to 18.
2596	2.1	200	NA	ENDMON changed back to 11. ENDDAY changed back to 26.
2596	2.1	630	NA	ENDMON changed back to 11. ENDDAY changed back to 26.
2616	2.1	420	NA	ENDMON changed back to 3. ENDDAY changed to 23.
2616	2.1	433	NA	ENDMON changed back to 3. ENDDAY changed to 23.
2622	2.1	500	NA	STMON changed to 1. STDAY changed to -9.
2622	2.1	625	NA	STMON changed to 1. STDAY changed to -9.
2625	2.1	750	NA	STDAY changed to -9. HIACT changed to 7 Show of force [3]. HOSTLEV changed to 3 Display of force.
2625	2.1	770	NA	STDAY changed to -9. HIACT changed to 12 Border violation [3]. HOSTLEV changed to 3 Display of force.
2626	2.1	750	NA	STDAY changed to 31.
2626	2.1	770	NA	STDAY changed to 31.
2627	2.1	750	NA	STMON changed to 2.
2627	2.1	770	NA	STMON changed to 2.
2630	2.1	750	NA	HIACT changed to 17 Clash [4].
2630	2.1	770	NA	HIACT changed to 17 Clash [4].
2635	2.1	750	NA	HIACT changed to 0 No militarized action [1]. HOSTLEV changed to 1 No militarized action.
2635	2.1	770	NA	HIACT changed to 16 Attack [4].
2644	2.1	750	NA	ENDYEAR changed to 1987.
2644	2.1	770	NA	ENDYEAR changed to 1987.
2645	2.1	255	NA	STMON changed to 4. STDAY changed to 24. ENDMON changed to 3. ENDDAY changed to 31.
2645	2.1	390	NA	STMON changed to 4. STDAY changed to 24. ENDMON changed to 3. ENDDAY changed to 31.
2646	2.1	91	NA	STDAY changed back to 19. ENDDAY changed to 19.
2646	2.1	255	NA	STDAY changed back to 19. ENDDAY changed to 19.
2648	2.1	220	NA	ENDMON changed back to 7.
2648	2.1	350	NA	ENDMON changed back to 7.
2683	2.1	41	NA	ENDMON changed back to 4. ENDDAY changed to 23.
2683	2.1	200	NA	ENDMON changed back to 4. ENDDAY changed to 23.
2707	2.1	365	NA	HIACT changed to 7 Show of force [3].
2707	2.1	710	NA	HIACT changed to 0 No militarized action [1]. HOSTLEV changed to 1 No militarized action.
2710	2.1	365	NA	STMON changed back to 8. STDAY changed back to 10.
2710	2.1	710	NA	STMON changed back to 8. STDAY changed back to 10.
2711	2.1	365	NA	ENDDAY changed to -9. HIACT changed to 7 Show of force [3].
2711	2.1	710	NA	ENDDAY changed to -9.
2714	2.1	365	NA	HIACT changed to 16 Attack [4].
2714	2.1	710	NA	HIACT changed to 16 Attack [4].
2725	2.1	712	NA	HIACT changed to 18 Declaration of war [4]. HOSTLEV changed to 4 Use of force.
2727	2.1	740	NA	HIACT changed to 0 No militarized action [1]. HOSTLEV changed to 1 No militarized action.
2730	2.1	811	NA	STMON changed to 10. STDAY changed to 18. ENDDAY changed to 18. FATALITY changed to 1 1-25 deaths. FATALPRE changed to 1.
2730	2.1	817	NA	STMON changed to 10. STDAY changed to 18. ENDDAY changed to 18.
2731	2.1	811	NA	STMON changed to 4. STDAY changed to -9.
2731	2.1	817	NA	STMON changed to 4. STDAY changed to -9.
2732	2.1	811	NA	STDAY changed to -9. ENDDAY changed to -9.
2732	2.1	817	NA	STDAY changed to -9. ENDDAY changed to -9.
2733	2.1	2	NA	STDAY changed back to 2. ENDDAY changed back to 2.
2733	2.1	255	NA	STDAY changed back to 2. ENDDAY changed back to 2.
2734	2.1	95	NA	STMON changed to 11. STDAY changed to 23.
2734	2.1	630	NA	STMON changed to 11. STDAY changed to 23.
2738	2.1	365	NA	STMON changed to 7.
2738	2.1	380	NA	STMON changed to 7.
2740	2.1	2	NA	HIACT changed to 17 Clash [4].
2740	2.1	630	NA	HIACT changed to 17 Clash [4].
2742	2.1	2	NA	STDAY changed to 8.
2742	2.1	40	NA	STDAY changed to 8. HIACT changed to 15 Seizure [4]. HOSTLEV changed to 4 Use of force.
2743	2.1	620	NA	STDAY changed back to 6. ENDDAY changed back to 8.
2743	2.1	651	NA	STDAY changed back to 6. ENDDAY changed back to 8.
2744	2.1	235	NA	STDAY changed to 1.
2744	2.1	434	NA	STDAY changed to 1.
2745	2.1	850	NA	STDAY changed to 16. ENDMON changed to 10. ENDDAY changed to 22.
2745	2.1	910	NA	STDAY changed to 16. ENDMON changed to 10. ENDDAY changed to 22.
2747	2.1	775	NA	STDAY changed to 5. ENDDAY changed to 6.
2747	2.1	800	NA	STDAY changed to 5. ENDDAY changed to 6.
2748	2.1	740	NA	STDAY changed to 10.
2748	2.1	910	NA	STDAY changed to 10.
2749	2.1	710	NA	STMON changed to 1. STDAY changed to 31. ENDDAY changed to 14.
2749	2.1	816	NA	STMON changed to 1. STDAY changed to 31. ENDDAY changed to 14.
2757	2.1	530	NA	ENDDAY changed back to 7.
2757	2.1	625	NA	ENDDAY changed back to 7.
2772	2.1	630	NA	STMON changed back to 4. STDAY changed back to 19. ENDYEAR changed to 1987. ENDMON changed to 11. ENDDAY changed to 16.
2772	2.1	692	NA	STMON changed back to 4. STDAY changed back to 19. ENDYEAR changed to 1987. ENDMON changed to 11. ENDDAY changed to 16.
2773	2.1	20	NA	HIACT changed to 15 Seizure [4].
2778	2.1	750	NA	STMON changed to 6. STDAY changed to 4.
2778	2.1	780	NA	STMON changed to 6. STDAY changed to 4. HIACT changed to 0 No militarized action [1]. HOSTLEV changed to 1 No militarized action.
2782	2.1	710	NA	STMON changed to 3. STDAY changed to 7.
2782	2.1	713	NA	STMON changed to 3. STDAY changed to 7.
2788	2.1	640	NA	STMON changed to 9. STDAY changed to 23.
2788	2.1	645	NA	STMON changed to 9. STDAY changed to 23.
2793	2.1	630	NA	STMON changed back to 9. STDAY changed to 2.
2793	2.1	740	NA	STMON changed back to 9. STDAY changed to 2.
2796	2.1	630	NA	STDAY changed to 21. ENDDAY changed to 21.
2796	2.1	694	NA	STDAY changed to 21. ENDDAY changed to 21.
2798	2.1	630	NA	HIACT changed to 7 Show of force [3]. HOSTLEV changed to 3 Display of force.
2798	2.1	670	NA	HIACT changed to 7 Show of force [3].
2799	2.1	630	NA	HIACT changed to 17 Clash [4].
2799	2.1	640	NA	HIACT changed to 17 Clash [4].
2805	2.1	490	NA	STDAY changed to -9.
2805	2.1	500	NA	STDAY changed to -9.
2807	2.1	471	NA	STDAY changed to -9. ENDDAY changed to -9.
2807	2.1	475	NA	STDAY changed to -9. ENDDAY changed to -9.
2817	2.1	350	NA	STMON changed to 9. STDAY changed to 1.
2817	2.1	630	NA	STMON changed to 9. STDAY changed to 1.
2824	2.1	352	NA	STDAY changed back to 16.
2824	2.1	645	NA	STDAY changed back to 16.
2826	2.1	365	NA	SIDEA changed to 0.
2826	2.1	630	NA	SIDEA changed to 1.
2832	2.1	385	NA	STMON changed back to 5. STDAY changed back to 18.
2832	2.1	630	NA	STMON changed back to 5. STDAY changed back to 18.
2847	2.1	365	NA	ENDMON changed back to 11. ENDDAY changed back to 19.
2847	2.1	740	NA	ENDMON changed back to 11. ENDDAY changed back to 19.
2850	2.1	750	NA	STYEAR changed to 1956. STMON changed to 12. STDAY changed to -9.
2850	2.1	770	NA	STYEAR changed to 1956. STMON changed to 12. STDAY changed to -9. HIACT changed to 7 Show of force [3].
2855	2.1	211	NA	STMON changed to 5. STDAY changed to 29.
2855	2.1	265	NA	STMON changed to 5. STDAY changed to 29.
2862	2.1	710	NA	STDAY changed to 27.
2862	2.1	817	NA	STDAY changed to 27.
2863	2.1	365	NA	STDAY changed to 27.
2863	2.1	840	NA	STDAY changed to 27.
2865	2.1	200	NA	STMON changed back to 8. STDAY changed back to 27. ENDMON changed to 5. ENDDAY changed to 31.
2865	2.1	395	NA	STMON changed back to 8. STDAY changed back to 27. ENDMON changed to 5. ENDDAY changed to 31.
2871	2.1	365	NA	HIACT changed to 7 Show of force [3].
2873	2.1	365	NA	STMON changed to 6. STDAY changed to 22.
2873	2.1	740	NA	STMON changed to 6. STDAY changed to 22.
2877	2.1	305	NA	SIDEA changed back to 1.
2877	2.1	325	NA	SIDEA changed back to 0.
2878	2.1	305	NA	STMON changed to 7. STDAY changed to 31. ENDMON changed to 8. ENDDAY changed to 1. HIACT changed to 0 No militarized action [1]. HOSTLEV changed to 1 No militarized action.
2878	2.1	310	NA	STMON changed to 7. STDAY changed to 31. ENDMON changed to 8. ENDDAY changed to 1. HIACT changed to 12 Border violation [3]. HOSTLEV changed to 3 Display of force.
2884	2.1	710	NA	ENDMON changed to 3. ENDDAY changed to 17.
2884	2.1	817	NA	ENDMON changed to 3. ENDDAY changed to 17.
2885	2.1	770	NA	HIACT changed to 7 Show of force [3].
2898	2.1	260	NA	STMON changed to 9. STDAY changed to 28.
2898	2.1	315	NA	STMON changed to 9. STDAY changed to 28.
2913	2.1	820	NA	REVSTATE changed to 1. SIDEA changed to 1.
2922	2.1	101	NA	ENDDAY changed to 19.
2922	2.1	365	NA	ENDDAY changed to 19.
2923	2.1	140	NA	ENDDAY changed to 22.
2923	2.1	365	NA	ENDDAY changed to 22.
2925	2.1	365	NA	HIACT changed to 16 Attack [4].
2936	2.1	2	NA	STDAY changed to 9.
2936	2.1	710	NA	STDAY changed to 9.
2937	2.1	365	NA	ENDDAY changed to 24.
2937	2.1	740	NA	ENDDAY changed to 24.
2947	2.1	2	NA	HIACT changed to 0 No militarized action [1]. HOSTLEV changed to 1 No militarized action.
2947	2.1	710	NA	HIACT changed to 1 Threat to use force [2]. HOSTLEV changed to 2 Threat to use force.
2956	2.1	710	NA	ENDDAY changed to 25.
2956	2.1	732	NA	ENDDAY changed to 25.
2968	2.1	2	NA	STDAY changed to 26.
2968	2.1	20	NA	STDAY changed to 26.
2971	2.1	731	NA	HIACT changed to 16 Attack [4]. HOSTLEV changed to 4 Use of force.
2974	2.1	731	NA	ENDDAY changed to 16.
2974	2.1	740	NA	ENDDAY changed to 16.
2975	2.1	710	NA	STDAY changed to 2. ENDDAY changed to 3.
2975	2.1	816	NA	STDAY changed to 2. ENDDAY changed to 3.
2976	2.1	365	NA	HIACT changed to 7 Show of force [3].
2977	2.1	2	NA	ENDMON changed to 6. ENDDAY changed to 8.
2977	2.1	93	NA	ENDMON changed to 6. ENDDAY changed to 8.
2981	2.1	2	NA	HIACT changed to 7 Show of force [3].
2986	2.1	710	NA	FATALITY changed to 1 1-25 deaths. FATALPRE changed to -9.
2987	2.1	710	NA	STDAY changed to 27.
2987	2.1	713	NA	STDAY changed to 27.
2992	2.1	200	NA	STDAY changed to 13.
2992	2.1	713	NA	STDAY changed to 13.
2997	2.1	651	NA	STMON changed to 9.
3001	2.1	651	NA	HIACT changed to 8 Alert [3].
3003	2.1	812	NA	STMON changed to 12.
3004	2.1	552	NA	HIACT changed to 17 Clash [4].
3004	2.1	571	NA	HIACT changed to 17 Clash [4].
3007	2.1	365	NA	HIACT changed to 8 Alert [3].
3022	2.1	820	NA	STDAY changed to 10. ENDDAY changed to 11. HIACT changed back to 7.
3022	2.1	840	NA	STDAY changed to 10. ENDDAY changed to 11. HIACT changed back to 7.
3025	2.1	630	NA	HIACT changed to 17 Clash [4].
3025	2.1	700	NA	HIACT changed to 17 Clash [4].
3040	2.1	260	NA	STDAY changed to 12. ENDDAY changed to 12.
3040	2.1	630	NA	STDAY changed to 12. ENDDAY changed to 12.
3041	2.1	220	NA	STDAY changed to 21. ENDDAY changed to 21.
3041	2.1	620	NA	STDAY changed to 21. ENDDAY changed to 21.
3046	2.1	0	200	STDAY changed to 8. ENDDAY changed to 8.
3046	2.1	450	NA	STMON changed to 2. STDAY changed to 16.
3046	2.1	645	NA	STMON changed to 2. STDAY changed to 16.
3048	2.1	630	NA	HIACT changed to 17 Clash [4].
3048	2.1	670	NA	HIACT changed to 17 Clash [4].
3050	2.1	850	NA	ENDMON changed to 10. ENDDAY changed to 29.
3050	2.1	910	NA	ENDMON changed to 10. ENDDAY changed to 29.
3051	2.1	651	NA	STDAY changed back to 8. ORIG changed to 0.
3053	2.1	645	NA	ENDDAY changed to 2.
3053	2.1	750	NA	ENDDAY changed to 2.
3056	2.1	530	NA	STDAY changed to 20. ENDDAY changed to 20.
3056	2.1	625	NA	STDAY changed to 20. ENDDAY changed to 20.
3058	2.1	2	NA	STDAY changed back to 21.
3058	2.1	55	NA	STDAY changed back to 21.
3062	2.1	2	NA	STMON changed to 8. STDAY changed to 29.
3062	2.1	652	NA	STMON changed to 8. STDAY changed to 29.
3064	2.1	160	NA	STDAY changed to 3. ENDDAY changed to 7. HIACT changed back to 7.
3064	2.1	200	NA	STDAY changed to 3. ENDDAY changed to 7. HIACT changed to 7 Show of force [3]. HOSTLEV changed to 3 Display of force.
3067	2.1	365	NA	STDAY changed back to 27. ENDDAY changed to 3.
3067	2.1	385	NA	STDAY changed back to 27. ENDDAY changed to 3.
3071	2.1	2	NA	HIACT changed to 7 Show of force [3].
3071	2.1	630	NA	HIACT changed back to 7. HOSTLEV changed back to 3.
3073	2.1	560	NA	ENDDAY changed to 26. HIACT changed to 17 Clash [4].
3073	2.1	570	NA	HIACT changed to 17 Clash [4]. HOSTLEV changed to 4 Use of force.
3074	2.1	775	NA	STMON changed to 11. STDAY changed to -9.
3074	2.1	800	NA	STMON changed to 11. STDAY changed to -9.
3075	2.1	775	NA	STDAY changed to 30.
3075	2.1	800	NA	STDAY changed to 30.
3083	2.1	850	NA	STDAY changed to 14. ENDMON changed back to 6. ENDDAY changed back to 26.
3083	2.1	910	NA	ENDMON changed back to 6. ENDDAY changed back to 26.
3086	2.1	645	NA	STDAY changed to 12.
3086	2.1	652	NA	STDAY changed to 12.
3089	2.1	365	NA	HIACT changed to 7 Show of force [3].
3093	2.1	365	NA	STDAY changed to 27.
3093	2.1	380	NA	STDAY changed to 27.
3099	2.1	2	NA	HIACT changed to 17 Clash [4].
3099	2.1	620	NA	HIACT changed to 17 Clash [4].
3099	2.1	651	0	Egypt (651) dropped from MID#3099.
3104	2.1	471	NA	STDAY changed to 15. ENDDAY changed to 22.
3104	2.1	475	NA	STDAY changed to 15. ENDDAY changed to 22.
3108	2.1	630	NA	STDAY changed to 12.
3108	2.1	690	NA	STDAY changed to 12.
3109	2.1	750	NA	ENDDAY changed to 22.
3109	2.1	771	NA	ENDDAY changed to 22.
3112	2.1	490	NA	FATALITY changed to 1 1-25 deaths. FATALPRE changed to 2.
3115	2.1	0	365	FATALITY changed to 0 None. FATALPRE changed to 0.
3115	2.1	680	NA	STDAY changed to -9. HIACT changed to 11 Fortify border [3].
3122	2.1	160	NA	STDAY changed to 22. HIACT changed to 16 Attack [4].
3122	2.1	365	NA	STDAY changed to 22.
3129	2.1	501	NA	ENDDAY changed to 27.
3129	2.1	520	NA	ENDDAY changed to 27.
3130	2.1	775	NA	STDAY changed to 22.
3130	2.1	800	NA	STDAY changed to 22.
3132	2.1	0	365	STYEAR changed to 1908. ENDMON changed to 2. ENDDAY changed to -9.
3132	2.1	630	NA	ENDMON changed to 2. ENDDAY changed to -9.
3132	2.1	640	NA	ENDMON changed to 2. ENDDAY changed to -9.
3133	2.1	365	NA	ENDYEAR changed to 1909. ENDMON changed to 9. ENDDAY changed to 9.
3133	2.1	630	NA	ENDYEAR changed to 1909. ENDMON changed to 9. ENDDAY changed to 9.
3135	2.1	200	NA	STMON changed back to 3. STDAY changed to 9.
3135	2.1	235	NA	STMON changed back to 3. STDAY changed to 9.
3138	2.1	220	NA	STMON changed to 4. STDAY changed to 17.
3138	2.1	235	NA	STMON changed to 4. STDAY changed to 17.
3139	2.1	600	NA	HIACT changed to 0 No militarized action [1]. HOSTLEV changed to 1 No militarized action.
3155	2.1	652	NA	HIACT changed to 7 Show of force [3].
3162	2.1	651	NA	STMON changed to 8. STDAY changed to 9. ENDDAY changed to 25. HIACT changed to 11 Fortify border [3]. HOSTLEV changed to 3 Display of force.
3162	2.1	663	NA	STMON changed to 8. STDAY changed to 9. ENDDAY changed to 25. HIACT changed to 15 Seizure [4].
3171	2.1	652	NA	ENDDAY changed to 21.
3171	2.1	663	NA	ENDDAY changed to 21.
3186	2.1	350	NA	STDAY changed to 4. ENDDAY changed to 4.
3186	2.1	355	NA	STDAY changed to 4. ENDDAY changed to 4.
3187	2.1	350	NA	STDAY changed to 27. ENDDAY changed to 27.
3187	2.1	355	NA	STDAY changed to 27. ENDDAY changed to 27.
3189	2.1	220	NA	ENDYEAR changed to 1938. ENDMON changed to 1. ENDDAY changed to 29.
3189	2.1	640	NA	ENDYEAR changed to 1938. ENDMON changed to 1. ENDDAY changed to 29.
3190	2.1	220	NA	ENDMON changed to 7. ENDDAY changed to 4.
3190	2.1	640	NA	ENDMON changed to 7. ENDDAY changed to 4.
3191	2.1	365	NA	STDAY changed to -9. ENDYEAR changed to 1939. ENDMON changed to 10. ENDDAY changed to 9.
3191	2.1	700	NA	STDAY changed to -9. ENDYEAR changed to 1939. ENDMON changed to 10. ENDDAY changed to 9.
3195	2.1	365	NA	ORIG changed to 1.
3195	2.1	630	NA	HIACT changed to 15 Seizure [4]. HOSTLEV changed to 4 Use of force. ORIG changed to 0.
3197	2.1	350	NA	ENDDAY changed to 20. HIACT changed to 16 Attack [4]. HOSTLEV changed to 4 Use of force.
3197	2.1	355	NA	ENDDAY changed to 20.
3205	2.1	325	NA	SIDEA changed to 1.
3205	2.1	345	NA	SIDEA changed to 0.
3207	2.1	365	NA	STMON changed back to 10. STDAY changed to 16. ENDMON changed to 4. ENDDAY changed to 15.
3207	2.1	740	NA	STMON changed back to 10. STDAY changed to 16. ENDMON changed to 4. ENDDAY changed to 15.
3214	2.1	365	NA	STDAY changed back to 30.
3214	2.1	380	NA	STDAY changed back to 30.
3218	2.1	200	NA	HIACT changed to 7 Show of force [3].
3225	2.1	365	NA	ENDDAY changed to 6.
3225	2.1	385	NA	ENDDAY changed to 6.
3229	2.1	200	NA	ORIG changed to 0.
3229	2.1	663	NA	STYEAR changed to 1948. STMON changed to 11. STDAY changed to 27. ORIG changed to 1.
3229	2.1	666	NA	STYEAR changed to 1948. STMON changed to 11. STDAY changed to 27.
3244	2.1	2	NA	STDAY changed to 28.
3244	2.1	135	NA	STDAY changed to 28. HIACT changed to 16 Attack [4].
3245	2.1	365	NA	ENDYEAR changed to 1863.
3245	2.1	710	NA	ENDYEAR changed to 1863.
3249	2.1	365	NA	ENDMON changed to 2.
3249	2.1	710	NA	ENDMON changed to 2.
3254	2.1	365	NA	STMON changed back to 8. STDAY changed back to -9.
3254	2.1	710	NA	STMON changed back to 8. STDAY changed back to -9.
3258	2.1	365	NA	STMON changed to 4. STDAY changed to 18.
3258	2.1	710	NA	STMON changed to 4. STDAY changed to 18.
3259	2.1	365	NA	ENDYEAR changed to 1921. ENDMON changed to 9.
3259	2.1	710	NA	ENDYEAR changed to 1921. ENDMON changed to 9.
3260	2.1	0	710	STDAY changed to -9. ENDDAY changed to 20. ORIG changed to 0.
3260	2.1	365	NA	STDAY changed to 20. ENDDAY changed to 20.
3260	2.1	740	NA	STDAY changed to 20. ENDDAY changed to 20.
3265	2.1	365	NA	STDAY changed to 5. ENDYEAR changed to 1947. ENDMON changed to 6. ENDDAY changed to 26.
3265	2.1	710	NA	STDAY changed to 5. ENDYEAR changed to 1947. ENDMON changed to 6. ENDDAY changed to 26.
3265	2.1	712	NA	STDAY changed to 5. ENDYEAR changed to 1947. ENDMON changed to 6. ENDDAY changed to 26.
3300	2.1	0	2	STDAY changed to 20.
3300	2.1	811	NA	STDAY changed to 20. SIDEA changed to 1.
3300	2.1	840	NA	STDAY changed to 20. SIDEA changed to 0.
3341	2.1	255	NA	STDAY changed to 18. ENDMON changed to 10. ENDDAY changed to 20.
3341	2.1	360	NA	STDAY changed to 18. ENDMON changed to 10. ENDDAY changed to 20.
3341	2.1	640	0	Turkey (640) dropped from MID#3341.
3343	2.1	350	NA	STDAY changed to 1. ENDDAY changed to 1.
3343	2.1	355	NA	STDAY changed to 1. ENDDAY changed to 1.
3344	2.1	350	NA	ENDDAY changed to 17.
3344	2.1	640	NA	ENDDAY changed to 17.
3349	2.1	230	NA	ENDDAY changed to -9.
3349	2.1	255	NA	ENDDAY changed to -9.
3352	2.1	355	NA	HIACT changed to 11 Fortify border [3].
3352	2.1	640	NA	HIACT changed to 11 Fortify border [3]. HOSTLEV changed to 3 Display of force.
3360	2.1	816	NA	STMON changed to 10. STDAY changed to 18.
3360	2.1	817	NA	STMON changed to 10. STDAY changed to 18.
3361	2.1	2	NA	STDAY changed back to -9.
3361	2.1	816	NA	STDAY changed back to -9.
3370	2.1	651	NA	FATALITY changed to 1 1-25 deaths. FATALPRE changed to -9.
3371	2.1	651	NA	SIDEA changed to 0.
3371	2.1	666	NA	SIDEA changed to 1.
3374	2.1	651	NA	FATALITY changed to 1 1-25 deaths. FATALPRE changed to -9.
3375	2.1	651	NA	STMON changed to 3. STDAY changed to 19. HIACT changed to 17 Clash [4].
3375	2.1	666	NA	STMON changed to 3. STDAY changed to 19. HIACT changed to 17 Clash [4].
3378	2.1	651	NA	STMON changed back to 4. STDAY changed back to 22.
3378	2.1	666	NA	STMON changed back to 4. STDAY changed back to 22.
3379	2.1	651	NA	ENDMON changed to 2. ENDDAY changed to 19. HIACT changed to 4 Threat to declare war [2]. HOSTLEV changed to 2 Threat to use force.
3379	2.1	666	NA	ENDMON changed to 2. ENDDAY changed to 19.
3380	2.1	651	NA	ENDMON changed to 3. ENDDAY changed to 22.
3380	2.1	666	NA	ENDMON changed to 3. ENDDAY changed to 22.
3387	2.1	651	NA	ENDDAY changed to 20. FATALITY changed to 1 1-25 deaths. FATALPRE changed to 1. HIACT changed to 17 Clash [4].
3387	2.1	666	NA	ENDDAY changed to 20. HIACT changed to 17 Clash [4]. HOSTLEV changed to 4 Use of force.
3404	2.1	652	NA	ENDMON changed to 3. ENDDAY changed to 28. HIACT changed to 16 Attack [4].
3404	2.1	666	NA	ENDMON changed to 3. ENDDAY changed to 28. HIACT changed to 16 Attack [4].
3405	2.1	651	NA	ENDMON changed to 8. ENDDAY changed to 23.
3405	2.1	666	NA	ENDMON changed to 8. ENDDAY changed to 23.
3406	2.1	651	NA	FATALITY changed to 1 1-25 deaths. FATALPRE changed to 2. HIACT changed to 17 Clash [4].
3406	2.1	666	NA	HIACT changed to 17 Clash [4].
3412	2.1	651	NA	ENDDAY changed to 29. FATALITY changed to 1 1-25 deaths. FATALPRE changed to -9. HIACT changed to 17 Clash [4]. HOSTLEV changed to 4 Use of force.
3412	2.1	652	NA	ENDDAY changed to 29.
3412	2.1	666	NA	ENDDAY changed to 29.
3414	2.1	652	NA	HIACT changed to 16 Attack [4]. HOSTLEV changed to 4 Use of force.
