dispnum	version	ccode	corr.ccode	change
1118	2.1	230	NA	HIACT changed back to 7.
1118	2.1	600	NA	HIACT changed back to 15.
1129	2.1	200	NA	STDAY changed to 2.
1129	2.1	220	NA	STDAY changed to 6.
1129	2.1	325	NA	STDAY changed to 4.
1129	2.1	670	NA	STDAY changed to 14.
1129	2.1	678	NA	STDAY changed to 14.
1136	2.1	630	NA	ENDDAY changed to 14.
1136	2.1	645	NA	ENDDAY changed to 14.
1154	2.1	130	NA	STMON changed to 7. STDAY changed to 19. ENDMON changed to 1. ENDDAY changed to 29.
1154	2.1	135	NA	STMON changed to 7. STDAY changed to 19. ENDMON changed to 1. ENDDAY changed to 29.
1156	2.1	130	NA	ENDMON changed to 3. ENDDAY changed to 4.
1156	2.1	135	NA	ENDMON changed to 3. ENDDAY changed to 4.
1171	2.1	90	NA	STDAY changed to -9.
1171	2.1	92	NA	STDAY changed to -9.
1173	2.1	91	NA	STMON changed to 2. STDAY changed to -9.
1173	2.1	93	NA	STMON changed to 2. STDAY changed to -9. FATALITY changed to 2 26-100 deaths. FATALPRE changed to 35.
1174	2.1	100	NA	ENDMON changed to 10. ENDDAY changed to -9.
1174	2.1	101	NA	ENDMON changed to 10. ENDDAY changed to -9.
1175	2.1	90	NA	ENDMON changed to 12. ENDDAY changed to 29.
1175	2.1	91	NA	ENDMON changed to 12. ENDDAY changed to 29.
1178	2.1	140	NA	STMON changed to 1. STDAY changed to 26. ENDMON changed to 3. ENDDAY changed to 21.
1178	2.1	145	NA	STMON changed to 1. STDAY changed to 26. ENDMON changed to 3. ENDDAY changed to 21.
1180	2.1	135	NA	STMON changed to 12. STDAY changed to 7.
1180	2.1	145	NA	STMON changed to 12. STDAY changed to 7.
1181	2.1	135	NA	ENDDAY changed to 24.
1181	2.1	155	NA	ENDDAY changed to 24.
1182	2.1	145	NA	STMON changed to 10. ENDMON changed to 10.
1182	2.1	150	NA	STMON changed to 10. ENDMON changed to 10.
1184	2.1	135	NA	STMON changed to 6. STDAY changed to 14. ORIG changed to 1.
1184	2.1	145	NA	STMON changed to 6. STDAY changed to 14.
1184	2.1	155	NA	STMON changed to 6. STDAY changed to 14.
1190	2.1	92	NA	FATALITY changed to 1 1-25 deaths. FATALPRE changed to 2.
1202	2.1	91	NA	ENDMON changed to 9. ENDDAY changed to 17.
1202	2.1	92	NA	ENDMON changed to 9. ENDDAY changed to 17.
1202	2.1	93	NA	ENDMON changed to 9.
1208	2.1	150	NA	STDAY changed to -9. ENDDAY changed back to 28.
1208	2.1	160	NA	STDAY changed to -9. ENDDAY changed back to 28.
1213	2.1	2	NA	ENDMON changed to 6. ENDDAY changed to 2.
1213	2.1	811	NA	ENDMON changed to 6. ENDDAY changed to 2.
1213	2.1	817	NA	ENDMON changed to 6. ENDDAY changed to 2.
1215	2.1	811	NA	ENDMON changed to 6. ENDDAY changed to 29.
1215	2.1	817	NA	ENDMON changed to 6. ENDDAY changed to 29.
1226	2.1	800	NA	STDAY changed to 4. ENDDAY changed to 6.
1226	2.1	811	NA	STDAY changed to 4. ENDDAY changed to 6.
1227	2.1	800	NA	ENDMON changed to 11. ENDDAY changed to 9.
1227	2.1	811	NA	ENDMON changed to 11. ENDDAY changed to 9.
1232	2.1	800	NA	ENDDAY changed to 25.
1232	2.1	811	NA	ENDDAY changed to 25.
1232	2.1	816	NA	ENDDAY changed to 25.
1234	2.1	365	NA	STYEAR changed to 1920. STMON changed to 12. STDAY changed to 24. ENDMON changed to 6. ENDDAY changed to 12.
1234	2.1	366	NA	STMON changed to 1. STDAY changed to 5. ENDMON changed to 6. ENDDAY changed to 12. ORIG changed to 0.
1234	2.1	367	NA	STYEAR changed to 1920. STMON changed to 12. STDAY changed to 24. ENDMON changed to 6. ENDDAY changed to 12.
1240	2.1	345	NA	STMON changed to 9. STDAY changed to -9. ENDMON changed to 9. ENDDAY changed to 15.
1240	2.1	355	NA	STMON changed to 9. STDAY changed to -9. ENDMON changed to 9. ENDDAY changed to 15.
1244	2.1	290	NA	STMON changed to 9. STDAY changed to 21.
1244	2.1	315	NA	STMON changed to 9. STDAY changed to 21.
1245	2.1	0	360	ENDDAY changed to 24.
1245	2.1	310	NA	ENDDAY changed to 24.
1245	2.1	345	NA	ENDDAY changed to 24.
1247	2.1	310	NA	HIACT changed to 13 Blockade [4].
1247	2.1	360	NA	HIACT changed to 10 Mobilization [3]. HOSTLEV changed to 3 Display of force.
1262	2.1	220	NA	ENDYEAR changed to 1919.
1262	2.1	325	NA	ENDYEAR changed to 1919.
1262	2.1	339	NA	ENDYEAR changed to 1919.
1262	2.1	345	NA	ENDYEAR changed to 1919.
1268	2.1	290	NA	ENDDAY changed to 3.
1268	2.1	315	NA	ENDDAY changed to 3.
1269	2.1	255	NA	STDAY changed to 8.
1269	2.1	290	NA	STMON changed to 6. STDAY changed to -9.
1269	2.1	366	NA	STDAY changed to 8.
1269	2.1	367	NA	STDAY changed to 8.
1279	2.1	350	NA	ENDYEAR changed back to 1964. ENDMON changed back to 8. ENDDAY changed back to 10.
1279	2.1	640	NA	ENDYEAR changed back to 1964. ENDMON changed back to 8. ENDDAY changed back to 10.
1280	2.1	350	NA	STDAY changed to 17.
1280	2.1	352	NA	STDAY changed to 17.
1280	2.1	640	NA	STDAY changed to 17.
1286	2.1	310	NA	STMON changed to 9. STDAY changed to -9. ENDMON changed to 12. ENDDAY changed to 14.
1286	2.1	345	NA	HIACT changed to 17 Clash [4].
1286	2.1	355	NA	STMON changed to 5. STDAY changed to 15. ENDMON changed to 12. ENDDAY changed to 14. HIACT changed to 17 Clash [4].
1286	2.1	360	NA	STYEAR changed to 1949. STMON changed to 10. STDAY changed to -9. ENDMON changed to 12. ENDDAY changed to 14.
1286	2.1	365	NA	HIACT changed to 15 Seizure [4]. HOSTLEV changed to 4 Use of force.
1289	2.1	350	NA	HIACT changed to 10 Mobilization [3]. SIDEA changed to 1.
1289	2.1	640	NA	HIACT changed to 0 No militarized action [1]. HOSTLEV changed to 1 No militarized action. SIDEA changed to 0.
1292	2.1	350	NA	HIACT changed to 11 Fortify border [3].
1292	2.1	640	NA	HIACT changed to 11 Fortify border [3].
1295	2.1	350	NA	STDAY changed to 27.
1295	2.1	355	NA	STDAY changed to 27.
1303	2.1	700	NA	STDAY changed to 14. ENDDAY changed to 7.
1303	2.1	770	NA	STDAY changed to 14. ENDDAY changed to 7.
1304	2.1	700	NA	ENDMON changed to 6. ENDDAY changed to 11.
1304	2.1	770	NA	ENDMON changed to 6. ENDDAY changed to 11.
1307	2.1	700	NA	STDAY changed to 27. ENDMON changed to 3. ENDDAY changed to 30.
1307	2.1	770	NA	STDAY changed to 27. ENDMON changed to 3. ENDDAY changed to 30.
1319	2.1	490	NA	STDAY changed to 5. HIACT changed to 16 Attack [4].
1319	2.1	500	NA	STDAY changed to 5. HIACT changed to 16 Attack [4].
1321	2.1	211	NA	STDAY changed back to 5.
1321	2.1	490	NA	STDAY changed back to 5.
1325	2.1	490	NA	HIACT changed to 7 Show of force [3]. HOSTLEV changed to 3 Display of force.
1331	2.1	230	NA	STDAY changed to 28. ENDDAY changed to 21. HIACT changed to 8 Alert [3].
1331	2.1	435	NA	STDAY changed to 28. ENDDAY changed to 21.
1331	2.1	600	NA	STDAY changed to 28. ENDDAY changed to 21.
1331	2.1	615	NA	STDAY changed to 28. ENDDAY changed to 21. HIACT changed to 7 Show of force [3]. HOSTLEV changed to 3 Display of force.
1340	2.1	411	NA	STMON changed to 8. STDAY changed to 23. ENDMON changed to 11. ENDDAY changed to 13.
1340	2.1	481	NA	STMON changed to 8. STDAY changed to 23. ENDMON changed to 11. ENDDAY changed to 13.
1344	2.1	732	NA	STDAY changed to 4. ENDMON changed to 3. ENDDAY changed to 16.
1344	2.1	740	NA	STDAY changed to 4. ENDMON changed to 3. ENDDAY changed to 16.
1345	2.1	732	NA	STDAY changed to 25. ENDYEAR changed to 1955. ENDMON changed to 1. ENDDAY changed to 25.
1345	2.1	740	NA	STDAY changed to 25. ENDYEAR changed to 1955. ENDMON changed to 1. ENDDAY changed to 25.
1346	2.1	732	NA	ENDMON changed to 8. ENDDAY changed to -9.
1346	2.1	740	NA	ENDMON changed to 8. ENDDAY changed to -9.
1347	2.1	732	NA	ENDMON changed to 2. ENDDAY changed to 1. HIACT changed to 16 Attack [4].
1347	2.1	740	NA	ENDMON changed to 2. ENDDAY changed to 1.
