"dispnum3","incidnum3","stday","stmon","styear","endday","endmon","endyear","duration","tbi","fatality","fatalpre","action","hostlev","numa","revtype1","revtype2","version"
4537,4537006,25,7,2007,25,7,2007,1,129,0,0,16,4,1,2,0,"gml-2.1"
4537,4537007,1,12,2007,1,12,2007,1,15,0,0,16,4,1,2,0,"gml-2.1"
4537,4537008,16,12,2007,16,12,2007,1,6,0,0,16,4,1,2,0,"gml-2.1"
4537,4537009,22,12,2007,26,12,2007,5,16,0,0,16,4,1,2,0,"gml-2.1"
4537,4537010,11,1,2008,15,1,2008,5,20,0,0,16,4,1,2,0,"gml-2.1"
4537,4537011,4,2,2008,9,2,2008,6,12,0,0,16,4,1,2,0,"gml-2.1"
4537,4537012,21,2,2008,21,2,2008,1,13,0,0,16,4,1,2,0,"gml-2.1"
4537,4537013,5,3,2008,5,3,2008,1,5,0,0,16,4,1,2,0,"gml-2.1"
4537,4537014,10,3,2008,10,3,2008,1,10,0,0,16,4,1,2,0,"gml-2.1"
4537,4537015,20,3,2008,20,3,2008,1,8,0,0,16,4,1,2,0,"gml-2.1"
4537,4537016,28,3,2008,29,3,2008,2,18,0,0,16,4,1,2,0,"gml-2.1"
4537,4537017,16,4,2008,16,4,2008,1,7,0,0,16,4,1,2,0,"gml-2.1"
4537,4537018,23,4,2008,26,4,2008,4,5,0,0,16,4,1,2,0,"gml-2.1"
4537,4537019,1,5,2008,1,5,2008,1,28,0,0,16,4,1,2,0,"gml-2.1"
4537,4537020,29,5,2008,10,6,2008,13,29,0,0,16,4,1,2,0,"gml-2.1"
4537,4537021,9,7,2008,9,7,2008,1,15,0,0,16,4,1,2,0,"gml-2.1"
4537,4537022,24,7,2008,27,7,2008,4,20,0,0,16,4,1,2,0,"gml-2.1"
4537,4537023,16,8,2008,16,8,2008,1,40,0,0,16,4,1,2,0,"gml-2.1"
4537,4537024,25,9,2008,25,9,2008,1,29,0,0,16,4,1,2,0,"gml-2.1"
